sum.taxonomy	X12S_Oct2019_LSC.B.1.S22.L001	X12S_Oct2019_PP.B.1.S4.L001	X12S_Oct2019_PedRF.B.1.S13.L001
Eukaryota;Chordata;Actinopteri;Alepocephaliformes;Platytroctidae;Normichthys;Normichthys operosus	1	0	0
Eukaryota;Chordata;Actinopteri;Anguilliformes;Muraenidae;Gymnothorax;	0	0	1
Eukaryota;Chordata;Actinopteri;Anguilliformes;Muraenidae;Gymnothorax;Gymnothorax unicolor	1	0	3
Eukaryota;Chordata;Actinopteri;Anguilliformes;Muraenidae;NA;	1290	0	1325
Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinopsidae;Leuresthes;Leuresthes tenuis	0	0	1
Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinopsidae;NA;	0	730	1809
Eukaryota;Chordata;Actinopteri;Blenniiformes;Clinidae;Heterostichus;Heterostichus rostratus	0	1	0
Eukaryota;Chordata;Actinopteri;Blenniiformes;Gobiesocidae;Gobiesox;Gobiesox maeandricus	0	0	2070
Eukaryota;Chordata;Actinopteri;Blenniiformes;Tripterygiidae;Enneapterygius;Enneapterygius philippinus	1	0	0
Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;NA;	9	4	3683
Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Seriola;Seriola lalandi	0	0	1
Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Trachinotus;Trachinotus baillonii	0	0	1
Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Trachurus;	3549	2743	630
Eukaryota;Chordata;Actinopteri;Centrarchiformes;Centrarchidae;Micropterus;	0	0	1
Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Girella;	1488	18421	4484
Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Girella;Girella tricuspidata	0	1	0
Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Hermosilla;Hermosilla azurea	0	0	338
Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis	38	21	15
Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Microcanthus;Microcanthus strigatus	0	1	0
Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;NA;	16556	8827	4717
Eukaryota;Chordata;Actinopteri;Centrarchiformes;NA;;	3	7	3
Eukaryota;Chordata;Actinopteri;Centrarchiformes;Oplegnathidae;Oplegnathus;Oplegnathus woodwardi	21	102	71
Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;NA;	0	2	6
Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Sardinops;Sardinops sagax	0	165	3674
